image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/000080/ffffff?text=,Azul Marino,Navy Blue,navy_blue,#000080,"0,0,128"
https://placehold.co/300x300/00008b/ffffff?text=,Azul oscuro,Dark Blue,dark_blue,#00008b,"0,0,139"
https://placehold.co/300x300/0000cd/ffffff?text=,Azul Medio,Medium Blue,medium_blue,#0000cd,"0,0,205"
https://placehold.co/300x300/000f89/ffffff?text=,Azul Ftalo,Phthalo Blue,phthalo_blue,#000f89,"0,15,137"
https://placehold.co/300x300/002147/ffffff?text=,Azul Oxford,Oxford Blue,oxford_blue,#002147,"0,33,71"
https://placehold.co/300x300/002366/ffffff?text=,Azul Real (Tradicional),Royal Blue (Traditional),royal_blue_traditional,#002366,"0,35,102"
https://placehold.co/300x300/002387/ffffff?text=,Azul Resolución,Resolution Blue,resolution_blue,#002387,"0,35,135"
https://placehold.co/300x300/002395/ffffff?text=,Azul Imperial,Imperial Blue,imperial_blue,#002395,"0,35,149"
https://placehold.co/300x300/002fa7/ffffff?text=,Azul Klein Internacional,International Klein Blue,international_klein_blue,#002fa7,"0,47,167"
https://placehold.co/300x300/003153/ffffff?text=,Azul Prusia,Prussian Blue,prussian_blue,#003153,"0,49,83"
https://placehold.co/300x300/00416a/ffffff?text=,Azul imperial oscuro,Dark Imperial Blue,dark_imperial_blue,#00416a,"0,65,106"
https://placehold.co/300x300/004f98/ffffff?text=,Azul Usafa,Usafa Blue,usafa_blue,#004f98,"0,79,152"
https://placehold.co/300x300/0067a5/ffffff?text=,Azul Persa Medio,Medium Persian Blue,medium_persian_blue,#0067a5,"0,103,165"
https://placehold.co/300x300/0067a5/ffffff?text=,Azul Zafiro,Sapphire Blue,sapphire_blue,#0067a5,"0,103,165"
https://placehold.co/300x300/006994/ffffff?text=,Azul mar,Sea Blue,sea_blue,#006994,"0,105,148"
https://placehold.co/300x300/0070ff/ffffff?text=,Azul Brandeis,Brandeis Blue,brandeis_blue,#0070ff,"0,112,255"
https://placehold.co/300x300/0072bb/ffffff?text=,Azul francés,French Blue,french_blue,#0072bb,"0,114,187"
https://placehold.co/300x300/0073cf/ffffff?text=,Azul verdadero,True Blue,true_blue,#0073cf,"0,115,207"
https://placehold.co/300x300/0077be/ffffff?text=,Azul Barco Océano,Ocean Boat Blue,ocean_boat_blue,#0077be,"0,119,190"
https://placehold.co/300x300/007aa5/ffffff?text=,Cg Azul,Cg Blue,cg_blue,#007aa5,"0,122,165"
https://placehold.co/300x300/007ba7/ffffff?text=,Azul Celadon,Celadon Blue,celadon_blue,#007ba7,"0,123,167"
https://placehold.co/300x300/007fbf/ffffff?text=,Azul Honolulu,Honolulu Blue,honolulu_blue,#007fbf,"0,127,191"
https://placehold.co/300x300/0087bd/ffffff?text=,Azul (Ncs),Blue (Ncs),blue_ncs,#0087bd,"0,135,189"
https://placehold.co/300x300/0093af/ffffff?text=,Azul (Munsell),Blue (Munsell),blue_munsell,#0093af,"0,147,175"
https://placehold.co/300x300/0095b6/ffffff?text=,Azul Bondi,Bondi Blue,bondi_blue,#0095b6,"0,149,182"
https://placehold.co/300x300/00bfff/ffffff?text=,Azul cielo intenso,Deep Sky Blue,deep_sky_blue,#00bfff,"0,191,255"
https://placehold.co/300x300/00f/ffffff?text=,Azul,Blue,blue,#00f,"0,0,255"
