image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/2c1608/ffffff?text=,Zinnwaldite Brown,Zinnwaldite Brown,zinnwaldite_brown,#2c1608,"44,22,8"
https://placehold.co/300x300/321414/ffffff?text=,Marrón foca,Seal Brown,seal_brown,#321414,"50,20,20"
https://placehold.co/300x300/654321/ffffff?text=,Marrón Nutria,Otter Brown,otter_brown,#654321,"101,67,33"
https://placehold.co/300x300/654321/ffffff?text=,Marrón oscuro,Dark Brown,dark_brown,#654321,"101,67,33"
https://placehold.co/300x300/836953/ffffff?text=,Marrón Pastel,Pastel Brown,pastel_brown,#836953,"131,105,83"
https://placehold.co/300x300/8b4513/ffffff?text=,Marrón silla de montar,Saddle Brown,saddle_brown,#8b4513,"139,69,19"
https://placehold.co/300x300/964b00/ffffff?text=,Marrón (tradicional),Brown (Traditional),brown_traditional,#964b00,"150,75,0"
https://placehold.co/300x300/987654/ffffff?text=,Marrón Pálido,Pale Brown,pale_brown,#987654,"152,118,84"
https://placehold.co/300x300/996515/ffffff?text=,Marrón Dorado,Golden Brown,golden_brown,#996515,"153,101,21"
https://placehold.co/300x300/a52a2a/ffffff?text=,Marrón (tricolor),Brown (Web),brown_web,#a52a2a,"165,42,42"
https://placehold.co/300x300/a52a2a/ffffff?text=,Rojo-Marrón,Red-Brown,red_brown,#a52a2a,"165,42,42"
https://placehold.co/300x300/b5651d/ffffff?text=,Marrón Claro,Light Brown,light_brown,#b5651d,"181,101,29"
https://placehold.co/300x300/bb6528/ffffff?text=,Marrón rojizo,Ruddy Brown,ruddy_brown,#bb6528,"187,101,40"
https://placehold.co/300x300/bc8f8f/ffffff?text=,Marrón Rosáceo,Rosy Brown,rosy_brown,#bc8f8f,"188,143,143"
https://placehold.co/300x300/c19a6b/ffffff?text=,Wood Brown,Wood Brown,wood_brown,#c19a6b,"193,154,107"
https://placehold.co/300x300/d2691e/ffffff?text=,Marrón Cacao,Cocoa Brown,cocoa_brown,#d2691e,"210,105,30"
https://placehold.co/300x300/e5b73b/ffffff?text=,Marrón Carne,Meat Brown,meat_brown,#e5b73b,"229,183,59"
https://placehold.co/300x300/f4a460/ffffff?text=,Marrón arena,Sandy Brown,sandy_brown,#f4a460,"244,164,96"
