image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/00008b/ffffff?text=,Azul oscuro,Dark Blue,dark_blue,#00008b,"0,0,139"
https://placehold.co/300x300/00416a/ffffff?text=,Azul imperial oscuro,Dark Imperial Blue,dark_imperial_blue,#00416a,"0,65,106"
https://placehold.co/300x300/008b8b/ffffff?text=,Cian oscuro,Dark Cyan,dark_cyan,#008b8b,"0,139,139"
https://placehold.co/300x300/00ced1/ffffff?text=,Turquesa oscuro,Dark Turquoise,dark_turquoise,#00ced1,"0,206,209"
https://placehold.co/300x300/013220/ffffff?text=,Verde oscuro,Dark Green,dark_green,#013220,"1,50,32"
https://placehold.co/300x300/036/ffffff?text=,Azul medianoche oscuro,Dark Midnight Blue,dark_midnight_blue,#036,"0,51,102"
https://placehold.co/300x300/039/ffffff?text=,Azul empolvado oscuro,Dark Powder Blue,dark_powder_blue,#039,"0,51,153"
https://placehold.co/300x300/039/ffffff?text=,Esmalte (Azul oscuro polvoriento),Smalt (Dark Powder Blue),smalt_dark_powder_blue,#039,"0,51,153"
https://placehold.co/300x300/03c03c/ffffff?text=,Verde pastel oscuro,Dark Pastel Green,dark_pastel_green,#03c03c,"3,192,60"
https://placehold.co/300x300/08457e/ffffff?text=,Cerúleo oscuro,Dark Cerulean,dark_cerulean,#08457e,"8,69,126"
https://placehold.co/300x300/177245/ffffff?text=,Verde primavera oscuro,Dark Spring Green,dark_spring_green,#177245,"23,114,69"
https://placehold.co/300x300/1a2421/ffffff?text=,Verde selva oscuro,Dark Jungle Green,dark_jungle_green,#1a2421,"26,36,33"
https://placehold.co/300x300/2f4f4f/ffffff?text=,Gris pizarra oscuro,Dark Slate Gray,dark_slate_gray,#2f4f4f,"47,79,79"
https://placehold.co/300x300/3c1414/ffffff?text=,Siena oscuro,Dark Sienna,dark_sienna,#3c1414,"60,20,20"
https://placehold.co/300x300/483c32/ffffff?text=,Lava oscuro,Dark Lava,dark_lava,#483c32,"72,60,50"
https://placehold.co/300x300/483c32/ffffff?text=,Taupe oscuro,Dark Taupe,dark_taupe,#483c32,"72,60,50"
https://placehold.co/300x300/483d8b/ffffff?text=,Azul pizarra oscuro,Dark Slate Blue,dark_slate_blue,#483d8b,"72,61,139"
https://placehold.co/300x300/536878/ffffff?text=,Azul eléctrico oscuro,Dark Electric Blue,dark_electric_blue,#536878,"83,104,120"
https://placehold.co/300x300/556b2f/ffffff?text=,Verde oliva oscuro,Dark Olive Green,dark_olive_green,#556b2f,"85,107,47"
https://placehold.co/300x300/560319/ffffff?text=,Escarlata oscuro,Dark Scarlet,dark_scarlet,#560319,"86,3,25"
https://placehold.co/300x300/5d3954/ffffff?text=,Bizancio oscuro,Dark Byzantium,dark_byzantium,#5d3954,"93,57,84"
https://placehold.co/300x300/654321/ffffff?text=,Marrón oscuro,Dark Brown,dark_brown,#654321,"101,67,33"
https://placehold.co/300x300/734f96/ffffff?text=,Lavanda oscuro,Dark Lavender,dark_lavender,#734f96,"115,79,150"
https://placehold.co/300x300/779ecb/ffffff?text=,Azul pastel oscuro,Dark Pastel Blue,dark_pastel_blue,#779ecb,"119,158,203"
https://placehold.co/300x300/872657/ffffff?text=,Frambuesa oscura,Dark Raspberry,dark_raspberry,#872657,"135,38,87"
https://placehold.co/300x300/8b0000/ffffff?text=,Rojo oscuro,Dark Red,dark_red,#8b0000,"139,0,0"
https://placehold.co/300x300/8b008b/ffffff?text=,Magenta oscuro,Dark Magenta,dark_magenta,#8b008b,"139,0,139"
https://placehold.co/300x300/8fbc8f/ffffff?text=,Verde mar oscuro,Dark Sea Green,dark_sea_green,#8fbc8f,"143,188,143"
https://placehold.co/300x300/918151/ffffff?text=,Bronceado oscuro,Dark Tan,dark_tan,#918151,"145,129,81"
https://placehold.co/300x300/9400d3/ffffff?text=,Violeta oscuro,Dark Violet,dark_violet,#9400d3,"148,0,211"
https://placehold.co/300x300/966fd6/ffffff?text=,Morado pastel oscuro,Dark Pastel Purple,dark_pastel_purple,#966fd6,"150,111,214"
https://placehold.co/300x300/986960/ffffff?text=,Castaño oscuro,Dark Chestnut,dark_chestnut,#986960,"152,105,96"
https://placehold.co/300x300/9932cc/ffffff?text=,Orquídea oscuro,Dark Orchid,dark_orchid,#9932cc,"153,50,204"
https://placehold.co/300x300/9b870c/ffffff?text=,Amarillo oscuro,Dark Yellow,dark_yellow,#9b870c,"155,135,12"
