image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/004225/ffffff?text=,Verde británico de carreras,British Racing Green,british_racing_green,#004225,"0,66,37"
https://placehold.co/300x300/004953/ffffff?text=,Verde Medianoche (Águila Verde),Midnight Green (Eagle Green),midnight_green_eagle_green,#004953,"0,73,83"
https://placehold.co/300x300/004b49/ffffff?text=,Verde selva intenso,Deep Jungle Green,deep_jungle_green,#004b49,"0,75,73"
https://placehold.co/300x300/00563f/ffffff?text=,Verde Sacramento State,Sacramento State Green,sacramento_state_green,#00563f,"0,86,63"
https://placehold.co/300x300/006a4e/ffffff?text=,Verde Botella,Bottle Green,bottle_green,#006a4e,"0,106,78"
https://placehold.co/300x300/006b3c/ffffff?text=,Verde Cadmio,Cadmium Green,cadmium_green,#006b3c,"0,107,60"
https://placehold.co/300x300/00703c/ffffff?text=,Verde Dartmouth,Dartmouth Green,dartmouth_green,#00703c,"0,112,60"
https://placehold.co/300x300/008000/ffffff?text=,Verde Oficina,Office Green,office_green,#008000,"0,128,0"
https://placehold.co/300x300/00827f/ffffff?text=,Verde azulado,Teal Green,teal_green,#00827f,"0,130,127"
https://placehold.co/300x300/009000/ffffff?text=,Verde Islámico,Islamic Green,islamic_green,#009000,"0,144,0"
https://placehold.co/300x300/009e60/ffffff?text=,Verde trébol,Shamrock Green,shamrock_green,#009e60,"0,158,96"
https://placehold.co/300x300/009f6b/ffffff?text=,Verde (Ncs),Green (Ncs),green_ncs,#009f6b,"0,159,107"
https://placehold.co/300x300/00a550/ffffff?text=,Verde (Pigmento),Green (Pigment),green_pigment,#00a550,"0,165,80"
https://placehold.co/300x300/00a693/ffffff?text=,Verde Persa,Persian Green,persian_green,#00a693,"0,166,147"
https://placehold.co/300x300/00a877/ffffff?text=,Verde (Munsell),Green (Munsell),green_munsell,#00a877,"0,168,119"
https://placehold.co/300x300/00fa9a/ffffff?text=,Verde Primavera Medio,Medium Spring Green,medium_spring_green,#00fa9a,"0,250,154"
https://placehold.co/300x300/00ff7f/ffffff?text=,Verde Guppie,Guppie Green,guppie_green,#00ff7f,"0,255,127"
https://placehold.co/300x300/00ff7f/ffffff?text=,Verde Primavera,Spring Green,spring_green,#00ff7f,"0,255,127"
https://placehold.co/300x300/013220/ffffff?text=,Verde oscuro,Dark Green,dark_green,#013220,"1,50,32"
https://placehold.co/300x300/014421/ffffff?text=,Verde bosque (tradicional),Forest Green (Traditional),forest_green_traditional,#014421,"1,68,33"
https://placehold.co/300x300/014421/ffffff?text=,Verde Bosque Up,Up Forest Green,up_forest_green,#014421,"1,68,33"
https://placehold.co/300x300/01796f/ffffff?text=,Verde Pino,Pine Green,pine_green,#01796f,"1,121,111"
https://placehold.co/300x300/03c03c/ffffff?text=,Verde pastel oscuro,Dark Pastel Green,dark_pastel_green,#03c03c,"3,192,60"
https://placehold.co/300x300/059033/ffffff?text=,Verde Norte de Texas,North Texas Green,north_texas_green,#059033,"5,144,51"
https://placehold.co/300x300/060/ffffff?text=,Verde Pakistán,Pakistan Green,pakistan_green,#060,"0,102,0"
https://placehold.co/300x300/087830/ffffff?text=,Verde La Salle,La Salle Green,la_salle_green,#087830,"8,120,48"
https://placehold.co/300x300/0c9/ffffff?text=,Verde Caribe,Caribbean Green,caribbean_green,#0c9,"0,204,153"
https://placehold.co/300x300/0d98ba/ffffff?text=,Azul Verde,Blue-Green,blue_green,#0d98ba,"13,152,186"
https://placehold.co/300x300/0f0/ffffff?text=,Electric Green,Electric Green,electric_green,#0f0,"0,255,0"
https://placehold.co/300x300/0f0/ffffff?text=,Lima (Web) (Verde X11),Lime (Web) (X11 Green),lime_web_x11_green,#0f0,"0,255,0"
https://placehold.co/300x300/123524/ffffff?text=,Verde Ftalo,Phthalo Green,phthalo_green,#123524,"18,53,36"
https://placehold.co/300x300/138808/ffffff?text=,Verde India,India Green,india_green,#138808,"19,136,8"
