image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/ba160c/ffffff?text=,Naranja Internacional (Ingeniería),International Orange (Engineering),international_orange_engineering,#ba160c,"186,22,12"
https://placehold.co/300x300/c46210/ffffff?text=,Naranja Aleación,Alloy Orange,alloy_orange,#c46210,"196,98,16"
https://placehold.co/300x300/c50/ffffff?text=,Naranja Tostado,Burnt Orange,burnt_orange,#c50,"204,85,0"
https://placehold.co/300x300/d99058/ffffff?text=,Naranja Persa,Persian Orange,persian_orange,#d99058,"217,144,88"
https://placehold.co/300x300/e9692c/ffffff?text=,Naranja zanahoria intenso,Deep Carrot Orange,deep_carrot_orange,#e9692c,"233,105,44"
https://placehold.co/300x300/ed872d/ffffff?text=,Naranja Cadmio,Cadmium Orange,cadmium_orange,#ed872d,"237,135,45"
https://placehold.co/300x300/ed9121/ffffff?text=,Naranja Zanahoria,Carrot Orange,carrot_orange,#ed9121,"237,145,33"
https://placehold.co/300x300/f88379/ffffff?text=,Rosa de té (naranja),Tea Rose (Orange),tea_rose_orange,#f88379,"248,131,121"
https://placehold.co/300x300/f96/ffffff?text=,Rosa-Naranja,Pink-Orange,pink_orange,#f96,"255,153,102"
https://placehold.co/300x300/fb9902/ffffff?text=,Naranja (Ryb),Orange (Ryb),orange_ryb,#fb9902,"251,153,2"
https://placehold.co/300x300/fc9/ffffff?text=,Melocotón-Naranja,Peach-Orange,peach_orange,#fc9,"255,204,153"
https://placehold.co/300x300/ff4500/ffffff?text=,Rojo Naranja,Orange-Red,orange_red,#ff4500,"255,69,0"
https://placehold.co/300x300/ff4f00/ffffff?text=,Naranja Internacional (Aeroespacial),International Orange (Aerospace),international_orange_aerospace,#ff4f00,"255,79,0"
https://placehold.co/300x300/ff5349/ffffff?text=,Rojo-Naranja,Red-Orange,red_orange,#ff5349,"255,83,73"
https://placehold.co/300x300/ff5a36/ffffff?text=,Naranja Portland,Portland Orange,portland_orange,#ff5a36,"255,90,54"
https://placehold.co/300x300/ff6700/ffffff?text=,Naranja seguridad (Naranja brillante),Safety Orange (Blaze Orange),safety_orange_blaze_orange,#ff6700,"255,103,0"
https://placehold.co/300x300/ff6e4a/ffffff?text=,Naranja Exagerante,Outrageous Orange,outrageous_orange,#ff6e4a,"255,110,74"
https://placehold.co/300x300/ff7f00/ffffff?text=,Naranja (Círculo de Color),Orange (Color Wheel),orange_color_wheel,#ff7f00,"255,127,0"
https://placehold.co/300x300/ff8c00/ffffff?text=,Naranja oscuro,Dark Orange,dark_orange,#ff8c00,"255,140,0"
https://placehold.co/300x300/ff8f00/ffffff?text=,Naranja Princeton,Princeton Orange,princeton_orange,#ff8f00,"255,143,0"
https://placehold.co/300x300/ff9f00/ffffff?text=,Cáscara de Naranja,Orange Peel,orange_peel,#ff9f00,"255,159,0"
https://placehold.co/300x300/ffa500/ffffff?text=,Naranja (Color Web),Orange (Web Color),orange_web_color,#ffa500,"255,165,0"
https://placehold.co/300x300/ffae42/ffffff?text=,Naranja Amarillo,Yellow Orange,yellow_orange,#ffae42,"255,174,66"
https://placehold.co/300x300/ffb347/ffffff?text=,Naranja Pastel,Pastel Orange,pastel_orange,#ffb347,"255,179,71"
https://placehold.co/300x300/ffbf00/ffffff?text=,Naranja fluorescente,Fluorescent Orange,fluorescent_orange,#ffbf00,"255,191,0"
