image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/997a8d/ffffff?text=,Rosa MountBatten,Mountbatten Pink,mountbatten_pink,#997a8d,"153,122,141"
https://placehold.co/300x300/d7837f/ffffff?text=,Rosa Nueva York,New York Pink,new_york_pink,#d7837f,"215,131,127"
https://placehold.co/300x300/de6fa1/ffffff?text=,Rosa China,China Pink,china_pink,#de6fa1,"222,111,161"
https://placehold.co/300x300/de6fa1/ffffff?text=,Rosa Thulian,Thulian Pink,thulian_pink,#de6fa1,"222,111,161"
https://placehold.co/300x300/dea5a4/ffffff?text=,Rosa Pastel,Pastel Pink,pastel_pink,#dea5a4,"222,165,164"
https://placehold.co/300x300/e18e96/ffffff?text=,Rosa rojizo,Ruddy Pink,ruddy_pink,#e18e96,"225,142,150"
https://placehold.co/300x300/e25098/ffffff?text=,Rosa Frambuesa,Raspberry Pink,raspberry_pink,#e25098,"226,80,152"
https://placehold.co/300x300/e4717a/ffffff?text=,Rosa Caramelo,Candy Pink,candy_pink,#e4717a,"228,113,122"
https://placehold.co/300x300/e4717a/ffffff?text=,Rosa tango,Tango Pink,tango_pink,#e4717a,"228,113,122"
https://placehold.co/300x300/e66771/ffffff?text=,Rosa Carmín Claro,Light Carmine Pink,light_carmine_pink,#e66771,"230,103,113"
https://placehold.co/300x300/e68fac/ffffff?text=,Rosa Encantador,Charm Pink,charm_pink,#e68fac,"230,143,172"
https://placehold.co/300x300/e68fac/ffffff?text=,Rosa Thulian Claro,Light Thulian Pink,light_thulian_pink,#e68fac,"230,143,172"
https://placehold.co/300x300/e75480/ffffff?text=,Rosa oscuro,Dark Pink,dark_pink,#e75480,"231,84,128"
https://placehold.co/300x300/e7accf/ffffff?text=,Rosa Perla,Pink Pearl,pink_pearl,#e7accf,"231,172,207"
https://placehold.co/300x300/eb4c42/ffffff?text=,Rosa Carmín,Carmine Pink,carmine_pink,#eb4c42,"235,76,66"
https://placehold.co/300x300/ec3b83/ffffff?text=,Rosa Cereza,Cerise Pink,cerise_pink,#ec3b83,"236,59,131"
https://placehold.co/300x300/ef3038/ffffff?text=,Rosa carmín intenso,Deep Carmine Pink,deep_carmine_pink,#ef3038,"239,48,56"
https://placehold.co/300x300/efbbcc/ffffff?text=,Rosa Camuflaje,Cameo Pink,cameo_pink,#efbbcc,"239,187,204"
https://placehold.co/300x300/f4c2c2/ffffff?text=,Rosa Bebé,Baby Pink,baby_pink,#f4c2c2,"244,194,194"
https://placehold.co/300x300/f6adc6/ffffff?text=,Rosa Nadeshiko,Nadeshiko Pink,nadeshiko_pink,#f6adc6,"246,173,198"
https://placehold.co/300x300/f6c/ffffff?text=,Rosa Rosa,Rose Pink,rose_pink,#f6c,"255,102,204"
https://placehold.co/300x300/f77fbe/ffffff?text=,Rosa Persa,Persian Pink,persian_pink,#f77fbe,"247,127,190"
https://placehold.co/300x300/f78fa7/ffffff?text=,Rosa Sorbete,Pink Sherbet,pink_sherbet,#f78fa7,"247,143,167"
https://placehold.co/300x300/f7f/ffffff?text=,Rosa fucsia,Fuchsia Pink,fuchsia_pink,#f7f,"255,119,255"
https://placehold.co/300x300/f88379/ffffff?text=,Rosa Congo,Congo Pink,congo_pink,#f88379,"248,131,121"
https://placehold.co/300x300/f88379/ffffff?text=,Rosa coral,Coral Pink,coral_pink,#f88379,"248,131,121"
https://placehold.co/300x300/f96/ffffff?text=,Rosa-Naranja,Pink-Orange,pink_orange,#f96,"255,153,102"
