image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/50404d/ffffff?text=,Púrpura Topo,Purple Taupe,purple_taupe,#50404d,"80,64,77"
https://placehold.co/300x300/5218fa/ffffff?text=,Púrpura Han,Han Purple,han_purple,#5218fa,"82,24,250"
https://placehold.co/300x300/66023c/ffffff?text=,Púrpura de Tiro,Tyrian Purple,tyrian_purple,#66023c,"102,2,60"
https://placehold.co/300x300/682860/ffffff?text=,Morado Palatinado,Palatinate Purple,palatinate_purple,#682860,"104,40,96"
https://placehold.co/300x300/69359c/ffffff?text=,Corazón Púrpura,Purple Heart,purple_heart,#69359c,"105,53,156"
https://placehold.co/300x300/78184a/ffffff?text=,Morado Pensamiento,Pansy Purple,pansy_purple,#78184a,"120,24,74"
https://placehold.co/300x300/7851a9/ffffff?text=,Morado Real,Royal Purple,royal_purple,#7851a9,"120,81,169"
https://placehold.co/300x300/9370db/ffffff?text=,Morado Medio,Medium Purple,medium_purple,#9370db,"147,112,219"
https://placehold.co/300x300/966fd6/ffffff?text=,Morado pastel oscuro,Dark Pastel Purple,dark_pastel_purple,#966fd6,"150,111,214"
https://placehold.co/300x300/9678b6/ffffff?text=,Majestad de la Montaña Púrpura,Purple Mountain Majesty,purple_mountain_majesty,#9678b6,"150,120,182"
https://placehold.co/300x300/967bb6/ffffff?text=,Lavanda Morado,Lavender Purple,lavender_purple,#967bb6,"150,123,182"
https://placehold.co/300x300/b19cd9/ffffff?text=,Morado Pastel Claro,Light Pastel Purple,light_pastel_purple,#b19cd9,"177,156,217"
https://placehold.co/300x300/b39eb5/ffffff?text=,Morado Pastel,Pastel Purple,pastel_purple,#b39eb5,"179,158,181"
https://placehold.co/300x300/b768a2/ffffff?text=,Perlado Púrpura,Pearly Purple,pearly_purple,#b768a2,"183,104,162"
https://placehold.co/300x300/bf00ff/ffffff?text=,Electric Purple,Electric Purple,electric_purple,#bf00ff,"191,0,255"
https://placehold.co/300x300/df00ff/ffffff?text=,Púrpura Psicodélico,Psychedelic Purple,psychedelic_purple,#df00ff,"223,0,255"
https://placehold.co/300x300/fe4eda/ffffff?text=,Púrpura Brillante,Purple Pizzazz,purple_pizzazz,#fe4eda,"254,78,218"
