image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/66424d/ffffff?text=,Rojo toscano intenso,Deep Tuscan Red,deep_tuscan_red,#66424d,"102,66,77"
https://placehold.co/300x300/79443b/ffffff?text=,Rojo Toscana Medio,Medium Tuscan Red,medium_tuscan_red,#79443b,"121,68,59"
https://placehold.co/300x300/7c0a02/ffffff?text=,Rojo Granero,Barn Red,barn_red,#7c0a02,"124,10,2"
https://placehold.co/300x300/7c4848/ffffff?text=,Rojo toscano,Tuscan Red,tuscan_red,#7c4848,"124,72,72"
https://placehold.co/300x300/801818/ffffff?text=,Rojo Falu,Falu Red,falu_red,#801818,"128,24,24"
https://placehold.co/300x300/860111/ffffff?text=,Red Devil,Red Devil,red_devil,#860111,"134,1,17"
https://placehold.co/300x300/8b0000/ffffff?text=,Rojo oscuro,Dark Red,dark_red,#8b0000,"139,0,0"
https://placehold.co/300x300/900/ffffff?text=,Rojo Carmesí Ou,Ou Crimson Red,ou_crimson_red,#900,"153,0,0"
https://placehold.co/300x300/9b111e/ffffff?text=,Rojo Rubí,Ruby Red,ruby_red,#9b111e,"155,17,30"
https://placehold.co/300x300/a40000/ffffff?text=,Rojo manzana caramelo oscuro,Dark Candy Apple Red,dark_candy_apple_red,#a40000,"164,0,0"
https://placehold.co/300x300/a52a2a/ffffff?text=,Rojo-Marrón,Red-Brown,red_brown,#a52a2a,"165,42,42"
https://placehold.co/300x300/aa381e/ffffff?text=,Rojo Chino,Chinese Red,chinese_red,#aa381e,"170,56,30"
https://placehold.co/300x300/ab4e52/ffffff?text=,Secoya,Redwood,redwood,#ab4e52,"171,78,82"
https://placehold.co/300x300/ae0c00/ffffff?text=,Rojo Mordant 19,Mordant Red 19,mordant_red_19,#ae0c00,"174,12,0"
https://placehold.co/300x300/ae2029/ffffff?text=,Rojo Upsdell,Upsdell Red,upsdell_red,#ae2029,"174,32,41"
https://placehold.co/300x300/b31b1b/ffffff?text=,Rojo Cornell,Cornell Red,cornell_red,#b31b1b,"179,27,27"
https://placehold.co/300x300/bb3385/ffffff?text=,Violeta Rojo Medio,Medium Red-Violet,medium_red_violet,#bb3385,"187,51,133"
https://placehold.co/300x300/c23b22/ffffff?text=,Rojo pastel oscuro,Dark Pastel Red,dark_pastel_red,#c23b22,"194,59,34"
https://placehold.co/300x300/c33/ffffff?text=,Rojo Persa,Persian Red,persian_red,#c33,"204,51,51"
https://placehold.co/300x300/c40233/ffffff?text=,Rojo (Ncs),Red (Ncs),red_ncs,#c40233,"196,2,51"
https://placehold.co/300x300/c71585/ffffff?text=,Rojo Violeta Medio,Medium Violet-Red,medium_violet_red,#c71585,"199,21,133"
https://placehold.co/300x300/c71585/ffffff?text=,Rojo-Violeta,Red-Violet,red_violet,#c71585,"199,21,133"
https://placehold.co/300x300/c80815/ffffff?text=,Rojo Veneciano,Venetian Red,venetian_red,#c80815,"200,8,21"
https://placehold.co/300x300/cb4154/ffffff?text=,Rojo ladrillo,Brick Red,brick_red,#cb4154,"203,65,84"
https://placehold.co/300x300/cb6d51/ffffff?text=,Rojo cobre,Copper Red,copper_red,#cb6d51,"203,109,81"
https://placehold.co/300x300/cd5c5c/ffffff?text=,Rojo Indio,Indian Red,indian_red,#cd5c5c,"205,92,92"
https://placehold.co/300x300/ce2029/ffffff?text=,Rojo bomberos,Fire Engine Red,fire_engine_red,#ce2029,"206,32,41"
https://placehold.co/300x300/d10056/ffffff?text=,Rojo Rubí,Rubine Red,rubine_red,#d10056,"209,0,86"
https://placehold.co/300x300/d70a53/ffffff?text=,Rojo Debian,Debian Red,debian_red,#d70a53,"215,10,83"
https://placehold.co/300x300/d9004c/ffffff?text=,Rojo UA,Ua Red,ua_red,#d9004c,"217,0,76"
https://placehold.co/300x300/da2c43/ffffff?text=,Rojo óxido,Rusty Red,rusty_red,#da2c43,"218,44,67"
https://placehold.co/300x300/db7093/ffffff?text=,Rojo Violeta Pálido,Pale Red-Violet,pale_red_violet,#db7093,"219,112,147"
https://placehold.co/300x300/db7093/ffffff?text=,Rojo Violeta Pálido,Pale Violet-Red,pale_violet_red,#db7093,"219,112,147"
https://placehold.co/300x300/e03c31/ffffff?text=,Rojo Cg,Cg Red,cg_red,#e03c31,"224,60,49"
https://placehold.co/300x300/e2062c/ffffff?text=,Rojo Manzana Caramelo Medio,Medium Candy Apple Red,medium_candy_apple_red,#e2062c,"226,6,44"
https://placehold.co/300x300/e30022/ffffff?text=,Rojo Cadmio,Cadmium Red,cadmium_red,#e30022,"227,0,34"
https://placehold.co/300x300/e97451/ffffff?text=,Ocre Rojo Claro,Light Red Ochre,light_red_ochre,#e97451,"233,116,81"
https://placehold.co/300x300/ed1c24/ffffff?text=,Rojo (Pigmento),Red (Pigment),red_pigment,#ed1c24,"237,28,36"
https://placehold.co/300x300/f00/ffffff?text=,Rojo,Red,red,#f00,"255,0,0"
https://placehold.co/300x300/f2003c/ffffff?text=,Rojo (Munsell),Red (Munsell),red_munsell,#f2003c,"242,0,60"
https://placehold.co/300x300/fd0e35/ffffff?text=,Rojo tractor,Tractor Red,tractor_red,#fd0e35,"253,14,53"
https://placehold.co/300x300/fe2712/ffffff?text=,Rojo (Ryb),Red (Ryb),red_ryb,#fe2712,"254,39,18"
https://placehold.co/300x300/ff0038/ffffff?text=,Rojo Carmín,Carmine Red,carmine_red,#ff0038,"255,0,56"
https://placehold.co/300x300/ff0800/ffffff?text=,Rojo Manzana Caramelo,Candy Apple Red,candy_apple_red,#ff0800,"255,8,0"
https://placehold.co/300x300/ff2800/ffffff?text=,Rojo Ferrari,Ferrari Red,ferrari_red,#ff2800,"255,40,0"
https://placehold.co/300x300/ff355e/ffffff?text=,Rojo Radical,Radical Red,radical_red,#ff355e,"255,53,94"
https://placehold.co/300x300/ff4040/ffffff?text=,Rojo coral,Coral Red,coral_red,#ff4040,"255,64,64"
https://placehold.co/300x300/ff4500/ffffff?text=,Rojo Naranja,Orange-Red,orange_red,#ff4500,"255,69,0"
https://placehold.co/300x300/ff5349/ffffff?text=,Rojo-Naranja,Red-Orange,red_orange,#ff5349,"255,83,73"
https://placehold.co/300x300/ff6961/ffffff?text=,Rojo Pastel,Pastel Red,pastel_red,#ff6961,"255,105,97"
