image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/480607/ffffff?text=,Rosa Búlgaro,Bulgarian Rose,bulgarian_rose,#480607,"72,6,7"
https://placehold.co/300x300/65000b/ffffff?text=,Palo de Rosa,Rosewood,rosewood,#65000b,"101,0,11"
https://placehold.co/300x300/674846/ffffff?text=,Rosa Ébano,Rose Ebony,rose_ebony,#674846,"103,72,70"
https://placehold.co/300x300/905d5d/ffffff?text=,Rosa Taupe,Rose Taupe,rose_taupe,#905d5d,"144,93,93"
https://placehold.co/300x300/996666/ffffff?text=,Rosa Topo,Copper Rose,copper_rose,#996666,"153,102,102"
https://placehold.co/300x300/a8516e/ffffff?text=,Rosa China,China Rose,china_rose,#a8516e,"168,81,110"
https://placehold.co/300x300/aa98a9/ffffff?text=,Rosa Cuarzo,Rose Quartz,rose_quartz,#aa98a9,"170,152,169"
https://placehold.co/300x300/ab4e52/ffffff?text=,Rosa Vale,Rose Vale,rose_vale,#ab4e52,"171,78,82"
https://placehold.co/300x300/ad6f69/ffffff?text=,Rosa Viejo,Old Rose,old_rose,#ad6f69,"173,111,105"
https://placehold.co/300x300/b3446c/ffffff?text=,Rosa Frambuesa,Raspberry Rose,raspberry_rose,#b3446c,"179,68,108"
https://placehold.co/300x300/b57281/ffffff?text=,Rosa turca,Turkish Rose,turkish_rose,#b57281,"181,114,129"
https://placehold.co/300x300/b76e79/ffffff?text=,Rosa Oro,Rose Gold,rose_gold,#b76e79,"183,110,121"
https://placehold.co/300x300/c08081/ffffff?text=,Rosa Viejo,Old Rose,old_rose,#c08081,"192,128,129"
https://placehold.co/300x300/c74375/ffffff?text=,Rosa fucsia,Fuchsia Rose,fuchsia_rose,#c74375,"199,67,117"
https://placehold.co/300x300/d71868/ffffff?text=,Rosa cornejo,Dogwood Rose,dogwood_rose,#d71868,"215,24,104"
https://placehold.co/300x300/e32636/ffffff?text=,Rosa Madder,Rose Madder,rose_madder,#e32636,"227,38,54"
https://placehold.co/300x300/f3c/ffffff?text=,Rosa Razzle Dazzle,Razzle Dazzle Rose,razzle_dazzle_rose,#f3c,"255,51,204"
https://placehold.co/300x300/f4c2c2/ffffff?text=,Rosa de té (rosa),Tea Rose (Rose),tea_rose_rose,#f4c2c2,"244,194,194"
https://placehold.co/300x300/f64a8a/ffffff?text=,Rosa francés,French Rose,french_rose,#f64a8a,"246,74,138"
https://placehold.co/300x300/f6c/ffffff?text=,Rosa Rosa,Rose Pink,rose_pink,#f6c,"255,102,204"
https://placehold.co/300x300/f88379/ffffff?text=,Rosa de té (naranja),Tea Rose (Orange),tea_rose_orange,#f88379,"248,131,121"
https://placehold.co/300x300/f9429e/ffffff?text=,Rosa Bombón,Rose Bonbon,rose_bonbon,#f9429e,"249,66,158"
https://placehold.co/300x300/fba0e3/ffffff?text=,Lavanda Rosa,Lavender Rose,lavender_rose,#fba0e3,"251,160,227"
https://placehold.co/300x300/fbcce7/ffffff?text=,Rosa Clásico,Classic Rose,classic_rose,#fbcce7,"251,204,231"
https://placehold.co/300x300/fe28a2/ffffff?text=,Rosa Persa,Persian Rose,persian_rose,#fe28a2,"254,40,162"
https://placehold.co/300x300/ff007f/ffffff?text=,Rosa,Rose,rose,#ff007f,"255,0,127"
https://placehold.co/300x300/ff033e/ffffff?text=,Rosa Americana,American Rose,american_rose,#ff033e,"255,3,62"
https://placehold.co/300x300/ff55a3/ffffff?text=,Rosa brillante,Brilliant Rose,brilliant_rose,#ff55a3,"255,85,163"
https://placehold.co/300x300/ffe4e1/ffffff?text=,Rosa Niebla,Misty Rose,misty_rose,#ffe4e1,"255,228,225"
