image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/324ab2/ffffff?text=,Azul Violeta,Violet-Blue,violet_blue,#324ab2,"50,74,178"
https://placehold.co/300x300/7f00ff/ffffff?text=,Violeta (Círculo de Colores),Violet (Color Wheel),violet_color_wheel,#7f00ff,"127,0,255"
https://placehold.co/300x300/8601af/ffffff?text=,Violeta (Ryb),Violet (Ryb),violet_ryb,#8601af,"134,1,175"
https://placehold.co/300x300/8a2be2/ffffff?text=,Azul Violeta,Blue-Violet,blue_violet,#8a2be2,"138,43,226"
https://placehold.co/300x300/8f00ff/ffffff?text=,Electric Violet,Electric Violet,electric_violet,#8f00ff,"143,0,255"
https://placehold.co/300x300/8f00ff/ffffff?text=,Violeta,Violet,violet,#8f00ff,"143,0,255"
https://placehold.co/300x300/9400d3/ffffff?text=,Violeta oscuro,Dark Violet,dark_violet,#9400d3,"148,0,211"
https://placehold.co/300x300/9f00ff/ffffff?text=,Violeta intenso,Vivid Violet,vivid_violet,#9f00ff,"159,0,255"
https://placehold.co/300x300/bb3385/ffffff?text=,Violeta Rojo Medio,Medium Red-Violet,medium_red_violet,#bb3385,"187,51,133"
https://placehold.co/300x300/c71585/ffffff?text=,Rojo Violeta Medio,Medium Violet-Red,medium_violet_red,#c71585,"199,21,133"
https://placehold.co/300x300/c71585/ffffff?text=,Rojo-Violeta,Red-Violet,red_violet,#c71585,"199,21,133"
https://placehold.co/300x300/cb99c9/ffffff?text=,Violeta Pastel,Pastel Violet,pastel_violet,#cb99c9,"203,153,201"
https://placehold.co/300x300/db7093/ffffff?text=,Rojo Violeta Pálido,Pale Red-Violet,pale_red_violet,#db7093,"219,112,147"
https://placehold.co/300x300/db7093/ffffff?text=,Rojo Violeta Pálido,Pale Violet-Red,pale_violet_red,#db7093,"219,112,147"
https://placehold.co/300x300/ee82ee/ffffff?text=,Violeta (Web),Violet (Web),violet_web,#ee82ee,"238,130,238"
