image_url,Es,En,en_2,hex_cod,RGB
https://placehold.co/300x300/9acd32/ffffff?text=,Amarillo Verdoso,Yellow-Green,yellow_green,#9acd32,"154,205,50"
https://placehold.co/300x300/9b870c/ffffff?text=,Amarillo oscuro,Dark Yellow,dark_yellow,#9b870c,"155,135,12"
https://placehold.co/300x300/adff2f/ffffff?text=,Verde-Amarillo,Green-Yellow,green_yellow,#adff2f,"173,255,47"
https://placehold.co/300x300/cf0/ffffff?text=,Amarillo fluorescente,Fluorescent Yellow,fluorescent_yellow,#cf0,"204,255,0"
https://placehold.co/300x300/e1a95f/ffffff?text=,Amarillo tierra,Earth Yellow,earth_yellow,#e1a95f,"225,169,95"
https://placehold.co/300x300/e3a857/ffffff?text=,Amarillo Indio,Indian Yellow,indian_yellow,#e3a857,"227,168,87"
https://placehold.co/300x300/e9d66b/ffffff?text=,Amarillo Acrilico,Arylide Yellow,arylide_yellow,#e9d66b,"233,214,107"
https://placehold.co/300x300/e9d66b/ffffff?text=,Amarillo Hansa,Hansa Yellow,hansa_yellow,#e9d66b,"233,214,107"
https://placehold.co/300x300/eee600/ffffff?text=,Amarillo titanio,Titanium Yellow,titanium_yellow,#eee600,"238,230,0"
https://placehold.co/300x300/efcc00/ffffff?text=,Amarillo (Munsell),Yellow (Munsell),yellow_munsell,#efcc00,"239,204,0"
https://placehold.co/300x300/f8de7e/ffffff?text=,Amarillo Suave,Mellow Yellow,mellow_yellow,#f8de7e,"248,222,126"
https://placehold.co/300x300/fada5e/ffffff?text=,Amarillo Nápoles,Naples Yellow,naples_yellow,#fada5e,"250,218,94"
https://placehold.co/300x300/fada5e/ffffff?text=,Amarillo Real,Royal Yellow,royal_yellow,#fada5e,"250,218,94"
https://placehold.co/300x300/fada5e/ffffff?text=,Amarillo Stil De Grain,Stil De Grain Yellow,stil_de_grain_yellow,#fada5e,"250,218,94"
https://placehold.co/300x300/fadfad/ffffff?text=,Melocotón-Amarillo,Peach-Yellow,peach_yellow,#fadfad,"250,223,173"
https://placehold.co/300x300/fafad2/ffffff?text=,Amarillo Vara de Oro Claro,Light Goldenrod Yellow,light_goldenrod_yellow,#fafad2,"250,250,210"
https://placehold.co/300x300/fc0/ffffff?text=,Amarillo mandarina,Tangerine Yellow,tangerine_yellow,#fc0,"255,204,0"
https://placehold.co/300x300/fdfd96/ffffff?text=,Amarillo Pastel,Pastel Yellow,pastel_yellow,#fdfd96,"253,253,150"
https://placehold.co/300x300/fefe33/ffffff?text=,Yellow (Ryb),Yellow (Ryb),yellow_ryb,#fefe33,"254,254,51"
https://placehold.co/300x300/ff0/ffffff?text=,Amarillo,Yellow,yellow,#ff0,"255,255,0"
https://placehold.co/300x300/ff0/ffffff?text=,Electric Yellow,Electric Yellow,electric_yellow,#ff0,"255,255,0"
https://placehold.co/300x300/ff6/ffffff?text=,Amarillo Intenso,Unmellow Yellow,unmellow_yellow,#ff6,"255,255,102"
https://placehold.co/300x300/ffa700/ffffff?text=,Amarillo Cromo,Chrome Yellow,chrome_yellow,#ffa700,"255,167,0"
https://placehold.co/300x300/ffae42/ffffff?text=,Naranja Amarillo,Yellow Orange,yellow_orange,#ffae42,"255,174,66"
https://placehold.co/300x300/ffba00/ffffff?text=,Amarillo selectivo,Selective Yellow,selective_yellow,#ffba00,"255,186,0"
https://placehold.co/300x300/ffc40c/ffffff?text=,Amarillo Mikado,Mikado Yellow,mikado_yellow,#ffc40c,"255,196,12"
https://placehold.co/300x300/ffd300/ffffff?text=,Amarillo (Ncs),Yellow (Ncs),yellow_ncs,#ffd300,"255,211,0"
https://placehold.co/300x300/ffd800/ffffff?text=,Amarillo autobús escolar,School Bus Yellow,school_bus_yellow,#ffd800,"255,216,0"
https://placehold.co/300x300/ffdf00/ffffff?text=,Amarillo Dorado,Golden Yellow,golden_yellow,#ffdf00,"255,223,0"
https://placehold.co/300x300/ffe135/ffffff?text=,Amarillo Plátano,Banana Yellow,banana_yellow,#ffe135,"255,225,53"
https://placehold.co/300x300/ffef00/ffffff?text=,Amarillo Canario,Canary Yellow,canary_yellow,#ffef00,"255,239,0"
https://placehold.co/300x300/fff600/ffffff?text=,Amarillo Cadmio,Cadmium Yellow,cadmium_yellow,#fff600,"255,246,0"
https://placehold.co/300x300/ffffe0/ffffff?text=,Amarillo Claro,Light Yellow,light_yellow,#ffffe0,"255,255,224"
