best_place_to_work,company_anual_budget,company_month_budget,company_value,company_value_no_abbreviate,contact_email,continent,country,employee_count,employee_satisfaction,glassdoor_clasification,hiring,id,industry,min_work_hour,name,open_projects,phone_number,province,remote_friendly,rest_days,salary_anual_budget,salary_anual_budget_percentage,size_category,total_work_hours,url_best_place_to_work,work_days
true,6841519.2,570126.6,21.38M,21379747.5,ignitesystems@falsegmail.com,África,Réunion,225,16%,2.55,true,1,Telecommunications,10,Ignite Systems,291.0,+1 784 511-547-4268,El Seibo,true,11,3420759.6,16%,medium,90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,9
true,46306831.5,3562063.9615384615,201.33M,201334050.0,joltsolarpower@falsegmail.com,Europa,Latvia,900,2%,1.05,false,2,Energy,10,Jolt Solar Power,4133.0,+223 583-599-6960,Latviya,true,3,40266810.0,20%,large,70,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,7
false,207605.46333333335,15969.651025641027,546.33K,546330.1666666667,zephyropenfield@falsegmail.com,Europa,Portugal,7,45%,1.88,false,3,Healthcare,12,Zephyr Open Field,23.0,+7 785-203-9373,Radom,false,14,103802.73166666667,19%,micro,60,,5
true,1725996350.0,156908759.0909091,10.79B,10787477187.5,strideharbor@falsegmail.com,Australia y Oceanía,Papua New Guinea,8125,9%,2.53,false,4,Hospitality,5,Stride Harbor,30844.0,+351 776-585-5825,Los Santos,true,1,3775617015.625,35%,extra,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,4
false,1882876.8,171170.6181818182,11.77M,11767980.0,southlinkage@falsegmail.com,África,Western Sahara,60,21%,5.36,true,5,Manufacturing,6,South Linkage,285.0,+966 933-627-6379,Habarovskii krai,false,5,2941995.0,25%,small,54,,9
true,16083497.424,1608349.7424,100.52M,100521858.9,glowtide@falsegmail.com,América,Argentina,381,-13%,3.94,true,6,Retail,13,Glow Tide,1783.0,+54 835-576-2518,Corrientes,true,10,25130464.725,25%,large,117,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,9
true,387508.21200000006,43056.46800000001,993.61K,993610.8,uniquetech@falsegmail.com,América,Chile,13,-15%,1.19,true,7,Finance,8,Unique Tech,56.0,+1 828-785-1216,Antofagasta,false,4,347763.78,35%,small,80,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,10
true,418468761040.32,34872396753.36,2.46T,2461580947296.0,brighthaven@falsegmail.com,África,Uganda,229248,-10%,1.28,true,8,Agriculture,13,Bright Haven,487142.0,+998 531-346-3660,Artigas,true,10,295389713675.52,12%,global,104,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
false,119883648.25799999,10898513.477999998,363.28M,363283782.59999996,primekernel@falsegmail.com,Europa,Luxembourg,463,51%,3.0,true,9,Nonprofit,11,Prime Kernel,559.0,+230 683-851-9608,Litva,true,11,152579188.692,42%,large,33,,3
true,11023.132000000001,1102.3132,38.01K,38010.8,puremosaic@falsegmail.com,América,Suriname,2,-3%,2.29,true,10,Healthcare,13,Pure Mosaic,8.0,+255 857-897-6243,Ostergotlands Lan,true,10,14824.212000000001,39%,micro,104,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,8
true,3944678098.2839994,358607099.8439999,21.91B,21914878323.8,nobleflow@falsegmail.com,África,Uganda,11207,33%,3.68,false,11,Automotive,11,Noble Flow,18209.0,+998 235-381-7759,Artigas,true,7,3944678098.2839994,18%,extra,44,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,4
true,6490239.1714285705,499249.167032967,21.63M,21634130.57142857,newglide@falsegmail.com,América,Chile,159,23%,4.73,true,12,Transportation,7,New Glide,692.0,+1 299-218-2328,Araucanía,true,3,8869993.534285715,41%,medium,42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,6
true,515238153113.25,46839832101.204544,1.05T,1051506434925.0,fluxproductions@falsegmail.com,Europa,Portugal,104760,-6%,4.61,false,13,Healthcare,9,Flux Productions,174513.0,+7 804-457-4921,Rzeszow,false,1,262876608731.25,25%,global,81,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2S4gNNATLYxRJZI6CBIYnf0_Lb8TycUPOQ&s,9
false,132796104.88571428,13279610.488571428,301.81M,301809329.28571427,originyield@falsegmail.com,América,Suriname,577,-17%,1.58,false,14,Telecommunications,6,Origin Yield,2120.0,+255 453-427-5718,Gavleborgs Lan,false,5,72434239.02857143,24%,large,84,,14
